OrderItemID,OrderID,ProductID,Quantity,UnitRetailPrice,UnitDiscountAmount,NetUnitPrice,UnitCostAtSale,PlatformFeeAmount,VATAmount
900001,500001,2046,2,17.89,0.0,17.89,10.16,0.0,5.96
900002,500001,2070,1,25.05,0.0,25.05,12.61,0.0,4.17
900003,500002,2010,1,23.05,0.0,23.05,15.01,0.0,3.84
900004,500002,2022,1,30.55,0.0,30.55,17.06,0.0,5.09
900005,500002,2070,2,26.05,1.3,24.75,12.61,0.0,8.25
900006,500003,2070,2,26.04,0.0,26.04,12.61,0.0,8.68
900007,500003,2010,1,22.52,0.0,22.52,15.01,0.0,3.75
900008,500003,2034,2,17.47,0.0,17.47,10.38,0.0,5.82
900009,500003,2022,1,29.76,0.0,29.76,17.06,0.0,4.96
900010,500004,2022,1,30.8,0.0,30.8,17.06,0.0,5.13
900011,500004,2010,1,22.84,0.0,22.84,15.01,0.0,3.81
900012,500005,2046,1,17.62,0.0,17.62,10.16,0.0,2.94
900013,500005,2010,2,22.38,0.0,22.38,15.01,0.0,7.46
900014,500005,2022,1,30.08,0.0,30.08,17.06,0.0,5.01
900015,500006,2022,1,31.07,0.0,31.07,17.06,0.0,5.18
900016,500006,2010,1,23.3,0.0,23.3,15.01,0.0,3.88
900017,500006,2070,1,26.15,0.0,26.15,12.61,0.0,4.36
900018,500006,2034,1,18.58,0.0,18.58,10.38,0.0,3.1
900019,500007,2010,1,23.76,0.0,23.76,15.01,0.0,3.96
900020,500007,2022,1,29.23,0.0,29.23,17.06,0.0,4.87
900021,500007,2070,1,26.01,0.0,26.01,12.61,0.0,4.33
900022,500007,2034,1,18.75,0.0,18.75,10.38,0.0,3.12
900023,500008,2034,3,18.03,0.0,18.03,10.38,0.0,9.02
900024,500008,2022,1,31.11,3.11,28.0,17.06,0.0,4.67
900025,500008,2070,2,24.59,0.0,24.59,12.61,0.0,8.2
900026,500009,2034,3,18.37,0.0,18.37,10.38,0.0,9.18
900027,500009,2022,2,29.99,0.0,29.99,17.06,0.0,10.0
900028,500010,2070,1,25.38,0.0,25.38,12.61,0.0,4.23
900029,500010,2022,1,30.81,0.0,30.81,17.06,0.0,5.13
900030,500010,2010,1,23.38,1.17,22.21,15.01,0.0,3.7
900031,500011,2022,3,31.24,0.0,31.24,17.06,0.0,15.62
900032,500011,2010,1,23.84,0.0,23.84,15.01,0.0,3.97
900033,500011,2070,1,25.85,1.29,24.56,12.61,0.0,4.09
900034,500012,2010,2,22.85,0.0,22.85,15.01,0.0,7.62
900035,500012,2022,1,29.56,0.0,29.56,17.06,0.0,4.93
900036,500012,2046,1,18.48,0.0,18.48,10.16,0.0,3.08
900037,500013,2010,3,23.86,1.19,22.67,15.01,0.0,11.34
900038,500013,2034,1,18.01,0.0,18.01,10.38,0.0,3.0
900039,500013,2070,2,24.66,0.0,24.66,12.61,0.0,8.22
900040,500014,2070,2,24.84,0.0,24.84,12.61,0.0,8.28
900041,500014,2010,1,22.81,0.0,22.81,15.01,0.0,3.8
900042,500015,2010,1,22.5,0.0,22.5,15.01,0.0,3.75
900043,500015,2034,2,17.98,0.0,17.98,10.38,0.0,5.99
900044,500016,2034,1,17.51,0.0,17.51,10.38,0.0,2.92
900045,500016,2010,1,22.37,0.0,22.37,15.01,0.0,3.73
900046,500016,2022,1,30.5,0.0,30.5,17.06,0.0,5.08
